#separator:comma
#html:true
#notetype:JPCARDS
#deck column:1
#tags column:10

AllEnglish::LEP::P083,childish,adjective,descriptive,/ˈtʃaɪldɪʃ/,Behaving in an immature or silly way.,Stop being so childish and just apologise to her.,It was rather childish to argue over something so small.,He threw a childish tantrum when he lost.,B2
AllEnglish::LEP::P083,childlike,adjective,descriptive,/ˈtʃaɪldlaɪk/,Having the positive qualities of a child such as innocence or wonder.,She still has a childlike sense of wonder.,His childlike enthusiasm made everyone smile.,He looked at the snow with childlike delight.,C1
AllEnglish::LEP::P083,infant,noun,countable,/ˈɪnfənt/,A very young baby.,The infant slept peacefully in its mother's arms.,The hospital has a special unit for sick infants.,The nativity play is when you are very young at an infant school.,B2
AllEnglish::LEP::P083,infancy,noun,uncountable,/ˈɪnfənsi/,The earliest period of a person's life.,She moved abroad during her infancy.,Very little is remembered from infancy.,The project was still in its infancy when it was cancelled.,C1
AllEnglish::LEP::P083,infantile,adjective,descriptive,/ˈɪnfəntaɪl/,Extremely childish or immature in a negative formal way.,His jokes became increasingly infantile.,I wish he would stop making those infantile noises.,Her behaviour was considered infantile by her colleagues.,C2
AllEnglish::LEP::P083,born,verb,passive,/bɔːn/,To come into the world as a baby.,I was born in Manchester but grew up in London.,She was born on Christmas Day.,I was born actually in High Wycombe.,A2
AllEnglish::LEP::P083,grow up,verb,phrasal verb,/ɡrəʊ ʌp/,To develop from a child into an adult.,I grew up in a quiet seaside town.,Children grow up much faster than their parents expect.,Where did you grow up?,A2
AllEnglish::LEP::P083,bring up,verb,phrasal verb,/brɪŋ ʌp/,To care for and educate a child until they become an adult.,My parents brought me up to be polite.,It is not easy to bring up three children.,My grandparents brought my father up after the war.,B1
AllEnglish::LEP::P083,be brought up,verb,passive phrase,/bi brɔːt ʌp/,To be raised as a child.,I was brought up in the countryside.,He was brought up by his grandparents.,I was brought up to be polite and respectful.,B2
AllEnglish::LEP::P083,upbringing,noun,countable,/ˈʌpˌbrɪŋɪŋ/,The way a child is raised and the environment they grew up in.,She had a very strict upbringing.,His happy upbringing gave him lots of confidence.,His strict upbringing made him very disciplined.,B2
AllEnglish::LEP::P083,raise,verb,transitive,/reɪz/,To care for a child until they become an adult.,They raised four children together.,It isn't easy to raise a family these days.,My parents raised me very well.,B1
AllEnglish::LEP::P083,be raised,verb,passive phrase,/bi reɪzd/,To grow up in a particular family or place.,I was raised in a bilingual household.,She was raised by her aunt and uncle.,He was raised in London.,B1
AllEnglish::LEP::P083,strict,adjective,descriptive,/strɪkt/,Demanding that rules concerning behaviour are obeyed.,She had a very strict upbringing.,My parents were very strict when I was a teenager.,The teacher was known for being strict but fair.,B2
AllEnglish::LEP::P083,toddler,noun,countable,/ˈtɒdlər/,A young child who has recently learned to walk.,The toddler kept running around the living room.,Reading to toddlers helps develop language skills.,My son is nearly three so he is still a toddler.,B2
AllEnglish::LEP::P083,preschooler,noun,countable,/ˌpriːˈskuːlər/,A child who is old enough for preschool but not yet at primary school.,The preschooler enjoyed painting and singing.,Most preschoolers learn through play.,Most preschoolers enjoy playing imaginative games.,C1
AllEnglish::LEP::P083,pre-school,noun,countable,/ˈpriː skuːl/,A school for very young children before primary school.,She started pre-school when she was three.,My son goes to pre-school every weekday morning.,I must have been about four when I was at pre-school.,B2
AllEnglish::LEP::P083,nursery school,noun,countable,/ˈnɜːsəri skuːl/,The British English term for preschool.,I made my first friends at nursery school.,Most children begin nursery school at around three.,He loved playing with blocks at nursery school.,B2
AllEnglish::LEP::P083,daycare,noun,uncountable,/ˈdeɪkeər/,A place where young children are looked after while parents work.,Both parents work so their daughter goes to daycare.,We had to find a new daycare near our house.,Our daughter goes to daycare three days a week.,B2
AllEnglish::LEP::P083,childcare,noun,uncountable,/ˈtʃaɪldkeər/,The care of young children by parents or professionals.,Childcare can be expensive in big cities.,They share the childcare between them.,The company offers free childcare for employees.,B2
