#separator:comma
#html:true
#notetype:JPCARDS
#deck column:1
#tags column:10

AllEnglish::LEP::P082,get back in touch,verb,phrasal verb,/ɡet bæk ɪn tʌtʃ/,To start communicating with someone again after a period without contact.,We've recently got back in touch with each other.,After twenty years apart I finally got back in touch with my old school friend.,I need to get back in touch with my former colleagues.,B2
AllEnglish::LEP::P082,catch up with,verb,phrasal verb,/kætʃ ʌp wɪð/,To talk to someone and exchange news after not seeing them for a while.,It was absolutely lovely to catch up with an old friend.,We met for coffee on Saturday and spent three hours catching up.,I need to catch up with my sister this weekend.,B2
AllEnglish::LEP::P082,hang out,verb,phrasal verb,/hæŋ aʊt/,To spend time with someone in a relaxed and informal way.,I hung out with you and Phil the whole time.,When we were teenagers we used to hang out in the park.,Let's hang out this weekend.,A2
AllEnglish::LEP::P082,gravitate towards,verb,phrasal verb,/ˈɡrævɪteɪt təˈwɔːdz/,To be naturally attracted to a person activity or idea.,I remember gravitating towards you guys thinking you were cool.,She always gravitates towards creative people.,People naturally gravitate towards confident leaders.,C1
AllEnglish::LEP::P082,bump into,verb,phrasal verb,/bʌmp ˈɪntuː/,To meet someone unexpectedly by chance.,You'd just go into Birmingham and bump into all your mates.,I bumped into my old English teacher while shopping.,We bumped into each other at the supermarket.,B2
AllEnglish::LEP::P082,get to know,verb,phrase,/ɡet tə nəʊ/,To gradually learn about someone's personality and character.,That's kind of the first time I got to know you.,It takes a while to get to know new colleagues.,I want to get to know her better.,B1
AllEnglish::LEP::P082,mutual friend,noun,countable,/ˈmjuːtʃuəl frend/,A person who is a friend of two people connecting them.,You remember Kirk our mutual friend?,We first met at a party through a mutual friend.,They were introduced by a mutual acquaintance.,B2
AllEnglish::LEP::P082,hangers-on,noun,plural,/ˌhæŋəz ˈɒn/,People who stay around a group for social benefits or status.,Not just the band members but all the hangers-on.,The singer arrived surrounded by a group of hangers-on.,He has too many hangers-on taking advantage of his wealth.,C1
AllEnglish::LEP::P082,put up barriers,verb,phrase,/pʊt ʌp ˈbæriəz/,To create psychological or emotional obstacles.,Mentally you put up barriers and you can't think straight.,Many learners put up barriers out of fear of making mistakes.,Therapy helped him stop putting up barriers.,C1
AllEnglish::LEP::P082,tense up,verb,phrasal verb,/tens ʌp/,To become nervous anxious or physically stiff.,It makes you tense up so you can't relax.,I always tense up before giving a presentation.,She tensed up when he asked about her past.,B2
AllEnglish::LEP::P082,get the point across,verb,phrase,/ɡet ðə pɔɪnt əˈkrɒs/,To communicate an idea successfully.,They use hand gestures to get the point across.,My grammar wasn't perfect but I got the point across.,He struggled to get his point across in the meeting.,B2
AllEnglish::LEP::P082,articulate,verb,transitive,/ɑːˈtɪkjʊleɪt/,To express your ideas clearly and effectively.,I'm going to try and articulate the words I want to say.,She can articulate her thoughts clearly and confidently.,He finds it hard to articulate his feelings.,C1
AllEnglish::LEP::P082,figure out,verb,phrasal verb,/ˈfɪɡər aʊt/,To identify or think of the correct solution or word.,People will want to help you figure out the right word.,I couldn't figure out the right word in French.,We need to figure out a plan.,B2
AllEnglish::LEP::P082,find your voice,verb,phrase,/faɪnd jɔː vɔɪs/,To develop your own style or confidence in expressing yourself.,Sometimes it takes quite a long time to find your voice.,It took her several years as a writer to find her voice.,The course helped the artist find his voice.,C1
AllEnglish::LEP::P082,find your feet,verb,idiom,/faɪnd jɔː fiːt/,To become comfortable and confident in a new situation.,You will eventually find your feet as it were.,It took me a few months to find my feet in my new job.,New students usually take a few weeks to find their feet.,C1
AllEnglish::LEP::P082,take a chance on,verb,phrase,/teɪk ə tʃɑːns ɒn/,To trust someone or give them an opportunity despite risks.,He gave me a job and took a chance on me.,The director decided to take a chance on an unknown actor.,I'm glad they took a chance on my business idea.,B2
