#separator:comma
#html:true
#notetype:JPCARDS
#deck column:1
#tags column:13
"AllEnglish::LEP::P033","Counterculture","","","noun","countable/uncountable","ˈkaʊntəkʌltʃə","","A subculture with values and norms of behavior that differ substantially from those of mainstream society.","It was a pivotal figure in what came to be known as the counterculture.","The movement was a counterculture arts movement, subversive in many ways.","Many young people in the 1960s embraced the counterculture.","C1"
"AllEnglish::LEP::P033","Subversive","","","adjective","","səbˈvɜːsɪv","","Seeking or intended to subvert an established system or institution.","It was a counterculture arts movement, meaning that it was quite subversive.","I like films that are subversive and mess with the genre.","They were American people, acting subversively against our president.","C1"
"AllEnglish::LEP::P033","Subvert","","","verb","transitive","səbˈvɜːt","","To undermine the power and authority of an established system or institution.","They tried to subvert the conventions of art and art exhibitions.","The rebel army is attempting to subvert the government.","Our expectations were subverted by the sudden plot twist.","C1"
"AllEnglish::LEP::P033","Subversion","","","noun","uncountable/countable","səbˈvɜːʃən","","The undermining of the power and authority of an established system or institution.","The punch line in a joke is usually the subversion of our expectations.","He was arrested for alleged subversion against the state.","The group was accused of political subversion.","C1"
"AllEnglish::LEP::P033","Alternative","","","adjective","","ɔːlˈtɜːnətɪv","","Available as another possibility or representing a different option from the mainstream.","It was a hub for alternative technology, alternative art, and alternative artists.","We wanted to present an alternative to the mainstream culture of the time.","They are exploring alternative energy sources like wind and solar.","B2"
"AllEnglish::LEP::P033","Alternatively","","","adverb","","ɔːlˈtɜːnətɪvli","","As another option or possibility.","We could start by focusing on your grammar; alternatively, we could begin with pronunciation.","You can catch the bus, or alternatively, I can drive you.","Alternatively, we could just stay home and watch a movie.","B2"
"AllEnglish::LEP::P033","Underpin","","","verb","transitive","ˌʌndəˈpɪn","","To support, justify, or form the basis for something.","The values which underpinned the movement were things like inclusion and ecology.","James Clark Maxwell made discoveries that underpin the science behind wi-fi.","We need to understand the economic principles that underpin this policy.","C1"
"AllEnglish::LEP::P033","Inclusion","","","noun","uncountable","ɪnˈkluːʒən","","The action or state of including or of being included within a group or structure.","The inclusion of so many words does tend to make these episodes quite long.","We promote social inclusion in our community projects.","The school's policy on the inclusion of students with special needs is excellent.","B2"
"AllEnglish::LEP::P033","Inclusivity","","","noun","uncountable","ˌɪnkluːˈsɪvəti","","The practice or policy of including people who might otherwise be excluded or marginalized.","At York University we're completely committed to inclusivity and representation.","Inclusivity was the main thing driving their art projects.","The company is trying to improve its culture of inclusivity.","C1"
"AllEnglish::LEP::P033","Inclusive","","","adjective","","ɪnˈkluːsɪv","","Including all the services or items normally expected or required; welcoming to all.","We aim to build rich, engaging and inclusive communities.","The rent is inclusive of water and heating bills.","We need an inclusive approach to solve this societal issue.","B2"
