#separator:comma
#html:true
#notetype:JPCARDS
#deck column:1
#tags column:13
AllEnglish::LEP::P047,"cautionary tale",,,"Noun phrase",,"/ˈkɔː.ʃən.ər.i teɪl/",,"A story that serves as a warning about the consequences of certain behaviors or actions.","The story of his failed business is a cautionary tale for young entrepreneurs.","I consider my brother's practical joke a cautionary tale about playing with fire.","Fairy tales were often originally told as cautionary tales to keep children safe.","C1"
AllEnglish::LEP::P047,"ninja mission",,,"Noun phrase",,"/ˈnɪn.dʒə ˈmɪʃ.ən/",,"A secret, stealthy, or covert operation, often used humorously to describe a sneaky task.","If you thought my ninja mission against my teacher was dangerous, listen to this.","Sneaking into the kitchen for midnight snacks felt like a ninja mission.","The kids planned a ninja mission to retrieve their ball from the neighbor's yard.","B2"
AllEnglish::LEP::P047,"daring",,,"Adjective",,"/ˈdeə.rɪŋ/",,"Brave and willing to take risks, often doing things that might be dangerous.","My brother's practical joke was incredibly daring and dangerous.","It was a daring rescue mission to save the trapped climbers.","She wore a daring outfit to the conservative formal event.","C1"
AllEnglish::LEP::P047,"form tutor",,,"Noun",,"/fɔːm ˈtjuː.tər/",,"A teacher who has responsibility for a particular class of students in a British school.","My English teacher Mr Hodgkins was his form tutor.","If you have any problems at school, you should speak to your form tutor.","The form tutor took the attendance register every morning.","B1"
AllEnglish::LEP::P047,"look up to",,,"Phrasal verb",,"/lʊk ʌp tuː/",,"To respect and admire someone very much, often an older person.","My brother and I always looked up to our Uncle Nic.","Young players look up to him as a role model.","It's important for children to have positive figures to look up to.","B2"
AllEnglish::LEP::P047,"be into",,,"Phrasal verb",,"/bi ˈɪn.tuː/",,"To be very interested in or enthusiastically involved in a particular hobby or subject.","He was always into guitars, motorbikes, and rock music.","I've never really been into sports.","She's heavily into photography at the moment.","B1"
AllEnglish::LEP::P047,"exploit",,,"Noun",,"/ˈek.splɔɪt/",,"A brave, interesting, or unusual act or adventure.","We were always impressed by his daring exploits.","The newspaper published a series of articles about the explorer's exploits.","He loved to boast about his sporting exploits from his youth.","C1"
AllEnglish::LEP::P047,"felt",,,"Noun",,"/felt/",,"A type of thick, soft cloth made from compressed wool or hair rather than woven threads.","The board rubber had strips of thick felt sticking out of it.","She bought a beautiful hat made of green felt.","The bottom of the chess pieces was covered in felt so they wouldn't scratch the board.","B2"
AllEnglish::LEP::P047,"board rubber",,,"Noun",,"/bɔːd ˈrʌb.ər/",,"An object made of wood and felt used for wiping chalk off a blackboard.","Nic told us about a cool trick you can do with a board rubber.","The teacher asked me to clean the board, but the board rubber was missing.","He slammed the board rubber on the desk to get our attention.","A2"
AllEnglish::LEP::P047,"chalk",,,"Noun",,"/tʃɔːk/",,"A type of soft white rock, usually shaped into sticks, used for writing or drawing on blackboards.","Teachers would write on the blackboards with chalk.","The children used colored chalk to draw pictures on the pavement.","He snapped the piece of chalk in half before continuing his lecture.","A2"
AllEnglish::LEP::P047,"rub off",,,"Phrasal verb",,"/rʌb ɒf/",,"To remove something from a surface by applying friction.","The teacher would then rub off the chalk with a board rubber.","Make sure you rub off the pencil marks before painting the wall.","I tried to wash it, but the stain just wouldn't rub off.","B1"
AllEnglish::LEP::P047,"strip",,,"Noun",,"/strɪp/",,"A long, narrow piece of material, paper, or land.","The rubber had strips of thick felt sticking out of it.","He cut the paper into thin strips for the art project.","We walked along a narrow strip of beach.","B2"
AllEnglish::LEP::P047,"stick out",,,"Phrasal verb",,"/stɪk aʊt/",,"To extend or project beyond the main surface or edge of something.","The thick felt was sticking out of the wooden handle.","Please don't stick your arm out of the car window.","You could see a piece of paper sticking out of his pocket.","B2"
AllEnglish::LEP::P047,"wipe away",,,"Phrasal verb",,"/waɪp əˈweɪ/",,"To completely remove a substance from a surface by rubbing it.","The felt strips would wipe the chalk away easily.","She used a tissue to wipe away her tears.","We need to wipe away the dust before applying the new coat of paint.","B1"
AllEnglish::LEP::P047,"practical joke",,,"Noun phrase",,"/ˌpræk.tɪ.kəl ˈdʒəʊk/",,"A trick played on someone to make them look foolish and to amuse others.","According to Uncle Nic, you could use matches as a practical joke.","Hiding his keys was just a harmless practical joke.","She hates it when her colleagues play practical jokes on her.","B2"
AllEnglish::LEP::P047,"break off",,,"Phrasal verb",,"/breɪk ɒf/",,"To separate a part from a larger piece, usually by applying force.","You could break off the heads of some matches for the trick.","He broke off a piece of chocolate and handed it to me.","The handle of the mug broke off when it fell on the floor.","B2"
AllEnglish::LEP::P047,"friction",,,"Noun",,"/ˈfrɪk.ʃən/",,"The force that makes it difficult for one object to slide along the surface of another, often creating heat.","The friction against the blackboard ignites the matches.","When you rub your hands together, the friction generates heat.","Oil is used in car engines to reduce friction between moving parts.","C1"
AllEnglish::LEP::P047,"ignite",,,"Verb",,"/ɪɡˈnaɪt/",,"To start burning or to cause something to start burning.","The friction suddenly ignites the matches.","The spark from the cable ignited the highly flammable gas.","His passionate speech ignited a feeling of hope in the crowd.","C1"
AllEnglish::LEP::P047,"catch fire",,,"Phrase",,"/kætʃ faɪər/",,"To begin to burn uncontrollably.","The board rubber catches fire when the matches ignite.","Dry grass can easily catch fire during the hot summer months.","The abandoned warehouse caught fire late last night.","B2"
AllEnglish::LEP::P047,"neat trick",,,"Noun phrase",,"/niːt trɪk/",,"A clever, impressive, or highly effective action or method.","Wow, neat trick Nic, thanks a lot.","He showed us a neat trick for peeling garlic quickly.","Balancing that spinning plate on a stick is a pretty neat trick.","B2"
AllEnglish::LEP::P047,"load up",,,"Phrasal verb",,"/ləʊd ʌp/",,"To fill something with a large amount of things, often secretly or heavily.","That week he loaded up the board rubber in Mr Hodgkins's classroom.","We loaded up the car with camping gear before leaving.","Make sure to load up on carbohydrates before the marathon.","B2"
AllEnglish::LEP::P047,"get to see",,,"Phrase",,"/ɡet tuː siː/",,"To have the opportunity or chance to witness something.","He didn't get to see the results because the class ended early.","I rarely get to see my old friends from university these days.","Did you get to see the new exhibition at the gallery before it closed?","B1"
AllEnglish::LEP::P047,"flash",,,"Noun",,"/flæʃ/",,"A sudden, bright, and brief burst of light.","What he expected was a quick flash and a puff of smoke.","There was a blinding flash of lightning followed by thunder.","The explosion was preceded by a bright blue flash.","B1"
AllEnglish::LEP::P047,"puff of smoke",,,"Noun phrase",,"/pʌf əv sməʊk/",,"A small, distinct cloud or burst of smoke.","He expected a quick flash and maybe a puff of smoke.","The magician disappeared in a puff of smoke.","Every time the old engine started, it let out a puff of smoke.","B2"
AllEnglish::LEP::P047,"scorch mark",,,"Noun phrase",,"/skɔːtʃ mɑːk/",,"A visible discoloration or damage left on a surface by burning or extreme heat.","There was a sort of scorch mark on the blackboard.","The hot iron left a brown scorch mark on his favorite shirt.","We found scorch marks on the carpet near the fireplace.","C1"
AllEnglish::LEP::P047,"shocked excitement",,,"Noun phrase",,"/ʃɒkt ɪkˈsaɪt.mənt/",,"A mixed feeling of being highly surprised but also thrilled or energized.","The kids all seemed to be in a state of shocked excitement.","The crowd reacted with shocked excitement when the unexpected guest arrived.","She opened the envelope with a feeling of shocked excitement.","C1"
AllEnglish::LEP::P047,"serious",,,"Adjective",,"/ˈsɪə.ri.əs/",,"Bad, dangerous, or severe enough to cause worry or require careful thought.","James suddenly realised how serious this could have been.","The storm caused serious damage to the coastal towns.","This is a serious problem that requires an immediate solution.","B1"
AllEnglish::LEP::P047,"go up in a ball of flame",,,"Idiom",,"/ɡəʊ ʌp ɪn ə bɔːl əv fleɪm/",,"To burn suddenly, completely, and violently.","The board rubber had gone up in a ball of flame in his hand.","The crashed car went up in a ball of flame within seconds.","Due to the gas leak, the whole building went up in a ball of flame.","C2"
AllEnglish::LEP::P047,"sulphur",,,"Noun",,"/ˈsʌl.fər/",,"A pale yellow chemical element that smells terrible when it burns, typically associated with matches.","The smell of burning sulphur had filled the air in the classroom.","The volcanic area was covered in yellow sulphur deposits.","Matches contain sulphur to help them ignite easily.","C1"
AllEnglish::LEP::P047,"fill the air",,,"Phrase",,"/fɪl ði eər/",,"To become completely pervasive or noticeable in the surrounding atmosphere.","Smoke, flames, and the smell of burning sulphur had filled the air.","The sound of classical music filled the air during the festival.","A feeling of tense anticipation filled the air before the announcement.","B2"
