#separator:comma
#html:true
#notetype:COCA-English
#deck column:1
#tags column:13
LEP-English::P03,staid,8f4e1a2b,1,adjective,,/steɪd/,,"Serious, boring and old-fashioned","The ceremony was very staid and traditional","The bank maintains a staid corporate culture","He found the lectures too staid",LEP-English::2022.06.01 LEP-English::P03
LEP-English::P03,hidebound,9d2c3b4a,2,adjective,,/ˈhaɪdbaʊnd/,,"Unwilling to change because of tradition","The institution remains hidebound by old rules","Some universities are quite hidebound","The hidebound bureaucracy resists reform",LEP-English::2022.06.01 LEP-English::P03
LEP-English::P03,stuffy,7e5f8d2c,3,adjective,,/ˈstʌfi/,,"Formal and old-fashioned in attitude","Traditional weddings can be quite stuffy","The atmosphere at the club was stuffy","He found his colleagues rather stuffy",LEP-English::2022.06.01 LEP-English::P03
LEP-English::P03,worthy,6a9b0c3d,4,adjective,,/ˈwɜːði/,,"Respectable but often boring","The speech was very worthy but dull","She gave a worthy performance","It was a worthy but uninspiring event",LEP-English::2022.06.01 LEP-English::P03
LEP-English::P03,stiff upper lip,5d7e2f1a,5,noun phrase,idiom,/stɪf ˈʌpə lɪp/,,"Remaining calm and unemotional in difficult situations","The British are known for their stiff upper lip","He maintained a stiff upper lip throughout the crisis","Keep a stiff upper lip, old chap",LEP-English::2022.06.01 LEP-English::P03
LEP-English::P03,solemn,4b8c1d2e,6,adjective,,/ˈsɒləm/,,"Serious and dignified","The ceremony was very solemn","They maintained a solemn silence","It was a solemn occasion",LEP-English::2022.06.01 LEP-English::P03
LEP-English::P03,one (formal),3a6b9c1d,7,pronoun,formal,/wʌn/,,"Formal way of saying 'you' or 'anyone'","One cannot help but grow older","One must be careful in such situations","One's experiences shape one's expectations",LEP-English::2022.06.01 LEP-English::P03
LEP-English::P03,cheeky chappie,2c4d7e8f,8,noun phrase,informal,/ˈtʃiːki ˈtʃæpi/,,"A cheerful, playful young man who behaves a bit badly but remains likeable","He's a bit of a cheeky chappie","Everyone loves him, he's such a cheeky chappie","The presenter is known as a cheeky chappie",LEP-English::2022.06.01 LEP-English::P03
LEP-English::P03,gesticulating,1b2c3d4e,9,verb,,/dʒeˈstɪkjuleɪtɪŋ/,,"Making gestures, especially while speaking","He was moving, gesticulating throughout his speech","She kept gesticulating wildly","The speaker was gesticulating to emphasize his points",LEP-English::2022.06.01 LEP-English::P03
LEP-English::P03,incoherent,0a1b2c3d,10,adjective,,/ˌɪnkəʊˈhɪərənt/,,"Unclear, disorganized, or difficult to understand","His speech was quite incoherent","She became incoherent with emotion","The explanation was rather incoherent",LEP-English::2022.06.01 LEP-English::P03
