#separator:comma
#html:true
#notetype:Exercise
#deck column:1
"Exercises::003-Possessive adjectives and subject pronouns","Possessive adjectives and subject pronouns","Use a subject pronoun before a verb to show who is doing the action.","___ am a good student.","I","My","'I' is the subject pronoun for the verb 'am'. 'My' must be followed by a noun.","/aɪ/"
"Exercises::003-Possessive adjectives and subject pronouns","Possessive adjectives and subject pronouns","Use a possessive adjective before a noun to show ownership.","___ name is John.","My","I","'My' is a possessive adjective that modifies the noun 'name'.","/maɪ/"
"Exercises::003-Possessive adjectives and subject pronouns","Possessive adjectives and subject pronouns","Use a subject pronoun as the subject of the sentence.","Are ___ a teacher?","you","your","'You' is the subject pronoun for the verb 'are'.","/juː/"
"Exercises::003-Possessive adjectives and subject pronouns","Possessive adjectives and subject pronouns","Use a possessive adjective before a noun to show ownership.","Is this ___ book?","your","you","'Your' is a possessive adjective modifying the noun 'book'.","/jɔːr/"
"Exercises::003-Possessive adjectives and subject pronouns","Possessive adjectives and subject pronouns","Use 'he' for a male subject.","This is Peter. ___ is from the UK.","He","His","'He' is the subject pronoun for the verb 'is'.","/hiː/"
"Exercises::003-Possessive adjectives and subject pronouns","Possessive adjectives and subject pronouns","Use 'his' to show ownership for a male.","This is my brother. ___ name is Paul.","His","He","'His' is a possessive adjective modifying the noun 'name'.","/hɪz/"
"Exercises::003-Possessive adjectives and subject pronouns","Possessive adjectives and subject pronouns","Use 'she' for a female subject.","This is my sister. ___ is very tall.","She","Her","'She' is the subject pronoun for the verb 'is'.","/ʃiː/"
"Exercises::003-Possessive adjectives and subject pronouns","Possessive adjectives and subject pronouns","Use 'her' to show ownership for a female.","This is my sister. ___ name is Anne.","Her","She","'Her' is a possessive adjective modifying the noun 'name'.","/hɜːr/"
"Exercises::003-Possessive adjectives and subject pronouns","Possessive adjectives and subject pronouns","Use 'it' for a singular thing or animal subject.","This is my car. ___ is very fast.","It","Its","'It' is the subject pronoun referring to the car.","/ɪt/"
"Exercises::003-Possessive adjectives and subject pronouns","Possessive adjectives and subject pronouns","Use 'its' to show ownership for a thing or animal.","Look at the dog. ___ tail is long.","Its","It","'Its' is a possessive adjective modifying the noun 'tail'.","/ɪts/"
"Exercises::003-Possessive adjectives and subject pronouns","Possessive adjectives and subject pronouns","Use 'we' for a plural subject that includes yourself.","Mary and I are friends. ___ are in the same class.","We","Our","'We' is the plural subject pronoun for 'Mary and I'.","/wiː/"
"Exercises::003-Possessive adjectives and subject pronouns","Possessive adjectives and subject pronouns","Use 'our' to show ownership for 'we'.","___ school is very big.","Our","We","'Our' is a possessive adjective modifying the noun 'school'.","/aʊər/"
"Exercises::003-Possessive adjectives and subject pronouns","Possessive adjectives and subject pronouns","Use 'they' for a plural subject (people or things).","___ are my parents.","They","Their","'They' is the subject pronoun for the plural noun 'parents'.","/ðeɪ/"
"Exercises::003-Possessive adjectives and subject pronouns","Possessive adjectives and subject pronouns","Use 'their' to show ownership for 'they'.","These are my friends. ___ names are Tom and Lisa.","Their","They","'Their' is a possessive adjective modifying the plural noun 'names'.","/ðeər/"
"Exercises::003-Possessive adjectives and subject pronouns","Possessive adjectives and subject pronouns","Use a possessive adjective before a noun to show ownership.","Where is ___ phone? I can't find it.","my","I","'my' modifies the noun 'phone' to indicate who it belongs to.","/maɪ/"
"Exercises::003-Possessive adjectives and subject pronouns","Possessive adjectives and subject pronouns","Use a subject pronoun before a verb to show who is doing the action.","I like music. ___ play the guitar.","I","My","'I' is the subject performing the action 'play'.","/aɪ/"
"Exercises::003-Possessive adjectives and subject pronouns","Possessive adjectives and subject pronouns","Use 'her' to show ownership for a female.","Sarah is married. ___ husband is a doctor.","Her","She","'Her' is the possessive adjective modifying 'husband'.","/hɜːr/"
"Exercises::003-Possessive adjectives and subject pronouns","Possessive adjectives and subject pronouns","Use 'his' to show ownership for a male.","David has a new job. ___ office is in London.","His","He","'His' is the possessive adjective modifying 'office'.","/hɪz/"
"Exercises::003-Possessive adjectives and subject pronouns","Possessive adjectives and subject pronouns","Use 'our' to show ownership for 'we'.","We live in a house. ___ house is small.","Our","We","'Our' indicates that the house belongs to 'us'.","/aʊər/"
"Exercises::003-Possessive adjectives and subject pronouns","Possessive adjectives and subject pronouns","Use 'they' as a plural subject pronoun.","The apples are red. ___ are very sweet.","They","Their","'They' is the subject pronoun replacing 'The apples'.","/ðeɪ/"
