#separator:comma
#html:true
#notetype:Exercise
#deck column:1
"Exercises::This, that, these, those","This, that, these, those","Use 'these' for plural nouns that are near.","___ are my trousers.","These","This|That","'Trousers' is a plural noun, so we must use 'these' or 'those'.","/ðiːz/"
"Exercises::This, that, these, those","This, that, these, those","Use 'this' to introduce people.","'Hi, Chris. ___ is my friend Jona.' 'Hi, Jona. Nice to meet you.'","this","that|these","We use 'this is' when introducing someone to another person.","/ðɪs/"
"Exercises::This, that, these, those","This, that, these, those","Use 'those' for plural nouns that are far away.","Look at ___ birds in the sky.","those","these|that","The birds are 'in the sky' (far away) and plural, so we use 'those'.","/ðoʊz/"
"Exercises::This, that, these, those","This, that, these, those","Use 'these' for plural nouns that are near.","'What are ___?' 'They are my books.'","these","this|that","'Books' is plural, requiring 'these' (if near) or 'those' (if far).","/ðiːz/"
"Exercises::This, that, these, those","This, that, these, those","Use 'this' for a singular noun that is near.","'What's ___?' 'It's a calculator.'","this","these","'Calculator' is singular, so we use 'this' instead of the plural 'these'.","/ðɪs/"
"Exercises::This, that, these, those","This, that, these, those","Use 'these' to introduce multiple people.","___ are John and Teresa.","These","This","'John and Teresa' are two people (plural), so we use 'these'.","/ðiːz/"
"Exercises::This, that, these, those","This, that, these, those","Use 'this is' when identifying yourself on the phone.","Hi, Richard, ___ is Julia. (On the phone)","this","that","When speaking on the phone, we use 'this is' to say who is calling.","/ðɪs/"
"Exercises::This, that, these, those","This, that, these, those","Use 'that' for singular nouns that are far away.","Look at ___ cloud. It's very strange.","that","this","A cloud is physically distant from the speaker, requiring 'that'.","/ðæt/"
"Exercises::This, that, these, those","This, that, these, those","Use 'those' for plural nouns that are far away.","'What are ___?' 'They are little cakes.'","those","that","'Cakes' is plural, so 'those' must be used instead of the singular 'that'.","/ðoʊz/"
"Exercises::This, that, these, those","This, that, these, those","Use 'those' for plural nouns that are far away.","___ are my keys.","Those","That","'Keys' is a plural noun, requiring the plural demonstrative 'those'.","/ðoʊz/"
"Exercises::This, that, these, those","This, that, these, those","Use 'this' for a singular person who is near.","Is ___ your mother?","this","these","'Mother' is a singular noun, so we use 'this' instead of 'these'.","/ðɪs/"
"Exercises::This, that, these, those","This, that, these, those","Use 'that' for singular nouns that are far away.","What is in ___ box over there?","that","this","The phrase 'over there' indicates distance, so we use 'that'.","/ðæt/"
"Exercises::This, that, these, those","This, that, these, those","Use 'this' for singular body parts attached to you.","___ is my hand!","This","That","Your hand is physically attached to you (very near), requiring 'this'.","/ðɪs/"
"Exercises::This, that, these, those","This, that, these, those","Use 'those' for plural nouns that are far away.","___ are my cats.","Those","this","'Cats' is plural, so we must use 'those' instead of the singular 'this'.","/ðoʊz/"
"Exercises::This, that, these, those","This, that, these, those","Transform singular 'this' to plural 'these'.","This is a flower. ⇒ ___ flowers.","These are","","'This is' changes to 'These are' when the noun becomes plural.","/ðiːz ɑːr/"
"Exercises::This, that, these, those","This, that, these, those","Transform singular 'that' to plural 'those'.","That is a box. ⇒ ___ boxes.","Those are","","'That is' changes to 'Those are' when referring to multiple distant objects.","/ðoʊz ɑːr/"
"Exercises::This, that, these, those","This, that, these, those","Transform singular 'that' to plural 'those'.","That is my father. ⇒ ___ my parents.","Those are","","'That is' changes to 'Those are' to match the plural noun 'parents'.","/ðoʊz ɑːr/"
"Exercises::This, that, these, those","This, that, these, those","Transform plural 'those' to singular 'that'.","Are those your friends? ⇒ ___ your friend?","Is that","","The plural 'Are those' changes to the singular 'Is that'.","/ɪz ðæt/"
"Exercises::This, that, these, those","This, that, these, those","Transform plural 'those' to singular 'that'.","What are those things? ⇒ What ___ thing?","is that","","The plural verb and demonstrative 'are those' become 'is that' for a singular noun.","/ɪz ðæt/"
"Exercises::This, that, these, those","This, that, these, those","Transform plural 'these' to singular 'this'.","These documents are important. ⇒ ___ important.","This document is","","'These documents are' shifts to the singular 'This document is'.","/ðɪs ˈdɒkjʊmənt ɪz/"
"Exercises::This, that, these, those","This, that, these, those","Transform plural 'these' to singular 'this'.","Are these your shoes? ⇒ ___ your shoe?","Is this","","The plural 'Are these' shifts to the singular 'Is this'.","/ɪz ðɪs/"
"Exercises::This, that, these, those","This, that, these, those","Transform singular 'that' to plural 'those'.","That's a good car. ⇒ ___ good cars.","Those are","","The singular contraction 'That's' (That is) becomes 'Those are' for plural items.","/ðoʊz ɑːr/"
"Exercises::This, that, these, those","This, that, these, those","Transform singular 'this' to plural 'these' for introductions.","This is John. ⇒ ___ John and Carla.","These are","","When introducing multiple people, 'This is' changes to 'These are'.","/ðiːz ɑːr/"
"Exercises::This, that, these, those","This, that, these, those","Transform plural 'these' to singular 'this'.","These are cheap computers. ⇒ ___ a cheap computer.","This is","","The plural 'These are' changes to the singular 'This is'.","/ðɪs ɪz/"
