#separator:comma
#html:true
#notetype:JPCARDS
#deck column:1
#tags column:13
"AllEnglish::LEP::EP0915","perfectionist","","","noun/adjective","","[pərˈfɛkʃənɪst]","","A person who refuses to accept any standard short of perfection.","I used to say I was a perfectionist in interviews, but it's a cliché.","Being a perfectionist can sometimes slow down the project.","She is a perfectionist when it comes to the design details.","B2"
"AllEnglish::LEP::EP0915","people pleaser","","","noun phrase","","[ˈpiːpəl ˈpliːzər]","","A person who has an emotional need to please others often at the expense of their own needs or desires.","As a people pleaser, I find it hard to say no to extra work.","He is a bit of a people pleaser and avoids conflict at all costs.","Being a people pleaser can lead to burnout in a high-pressure job.","C1"
"AllEnglish::LEP::EP0915","track record","","","noun","","[træk ˈrɛkərd]","","The past achievements or performance of a person, organization, or product.","I have a proven track record of increasing sales by 20%.","The company has a strong track record in innovation.","They are looking for a candidate with a solid track record in management.","C1"
"AllEnglish::LEP::EP0915","liaise","","","verb","","[liˈeɪz]","","To establish a working relationship, typically in order to cooperate on a matter of mutual concern.","I had to liaise with the marketing department on the new campaign.","Her job involves liaising between the client and the technical team.","We need someone to liaise with our international partners.","C1"
"AllEnglish::LEP::EP0915","micromanage","","","verb","","[ˌmaɪkroʊˈmænɪdʒ]","","To control every part, however small, of (an enterprise or activity).","I prefer a manager who doesn't micromanage my every move.","He tends to micromanage, which frustrates his team.","Trust your employees and try not to micromanage them.","C1"
"AllEnglish::LEP::EP0915","delegate","","","verb","","[ˈdɛlɪgeɪt]","","To entrust (a task or responsibility) to another person, typically one who is less senior than oneself.","A good manager knows how to delegate tasks effectively.","I need to delegate more of the administrative work.","She delegated the project to her assistant.","B2"
"AllEnglish::LEP::EP0915","hands-on","","","adjective","","[hændz ɒn]","","Involving or offering active participation rather than theory.","He is a very hands-on manager who gets involved in the daily work.","I have gained a lot of hands-on experience in this role.","The training includes a hands-on workshop.","B2"
"AllEnglish::LEP::EP0915","constructive criticism","","","noun phrase","","[kənˈstrʌktɪv ˈkrɪtɪsɪzəm]","","Feedback given to improve performance or behavior, rather than just to attack or blame.","I appreciate constructive criticism because it helps me learn.","He took the constructive criticism well and improved his presentation.","Give constructive criticism rather than just complaining.","C1"
"AllEnglish::LEP::EP0915","proactive","","","adjective","","[proʊˈæktɪv]","","Creating or controlling a situation by causing something to happen rather than responding to it after it has happened.","You need to be proactive and identify problems before they occur.","We are looking for a proactive approach to customer service.","She was praised for being proactive in finding a solution.","B2"
"AllEnglish::LEP::EP0915","initiative","","","noun","","[ɪˈnɪʃətɪv]","","The power or opportunity to act or take charge before others do.","He showed great initiative by starting the project on his own.","Employers value candidates who take the initiative.","Lack of initiative can hold you back in your career.","B2"
"AllEnglish::LEP::EP0915","rapport","","","noun","","[ræˈpɔːr]","","A close and harmonious relationship in which the people or groups concerned understand each other's feelings or ideas and communicate well.","It is important to build rapport with your clients.","She quickly established a good rapport with the interviewers.","Salespeople need to develop rapport with customers.","C1"
"AllEnglish::LEP::EP0915","remuneration","","","noun","Formal","[rɪˌmjuːnəˈreɪʃən]","","Money paid for work or a service.","The remuneration package includes a salary and a bonus.","They demanded adequate remuneration for their work.","Remuneration is negotiable depending on experience.","C2"
"AllEnglish::LEP::EP0915","perk","","","noun","Informal","[pɜːrk]","","A benefit to which one is entitled because of one's job (perquisite).","Free coffee is just one of the perks of the job.","Company cars are a common perk for sales managers.","One of the perks is the flexible working hours.","B2"
"AllEnglish::LEP::EP0915","competency","","","noun","","[ˈkɒmpɪtənsi]","","The ability to do something successfully or efficiently.","The interview will include competency-based questions.","Core competencies for this role include teamwork and communication.","She demonstrated a high level of competency in the task.","C1"
"AllEnglish::LEP::EP0915","situational","","","adjective","","[ˌsɪtʃuˈeɪʃənəl]","","Relating to or dependent on a set of circumstances or state of affairs.","Situational interview questions ask how you would handle hypothetical scenarios.","Situational leadership adjusts to the needs of the team.","His anxiety is purely situational.","B2"
"AllEnglish::LEP::EP0915","hypothetical","","","adjective","","[ˌhaɪpəˈθɛtɪkəl]","","Based on or serving as a hypothesis; supposed but not necessarily real or true.","Let's discuss a hypothetical situation where a client is angry.","The question was purely hypothetical.","He enjoys debating hypothetical scenarios.","B2"
"AllEnglish::LEP::EP0915","transferable skills","","","noun phrase","","[trænsˈfɜːrəbəl skɪlz]","","Skills used in one job or career that can also be used in another.","Leadership and communication are transferable skills.","Focus on your transferable skills when changing careers.","Problem-solving is a highly valued transferable skill.","C1"
"AllEnglish::LEP::EP0915","soft skills","","","noun phrase","","[sɒft skɪlz]","","Personal attributes that enable someone to interact effectively and harmoniously with other people.","Employers are increasingly looking for soft skills like empathy.","Technical skills get you the interview, but soft skills get you the job.","She has excellent soft skills and gets along with everyone.","B2"
"AllEnglish::LEP::EP0915","hard skills","","","noun phrase","","[hɑːrd skɪlz]","","Teachable abilities or skill sets that are easy to quantify.","Coding and foreign languages are examples of hard skills.","List your hard skills at the top of your CV.","He lacks the necessary hard skills for this technical role.","B2"
"AllEnglish::LEP::EP0915","conscientious","","","adjective","","[ˌkɒnʃiˈɛnʃəs]","","Wishing to do one's work or duty well and thoroughly.","She is a conscientious worker who never misses a deadline.","He is conscientious about checking his emails.","A conscientious student usually gets good grades.","C1"
"AllEnglish::LEP::EP0915","diligent","","","adjective","","[ˈdɪlɪdʒənt]","","Having or showing care and conscientiousness in one's work or duties.","He is a diligent employee who always goes the extra mile.","Diligent research is required for this report.","She was diligent in her duties.","C1"
"AllEnglish::LEP::EP0915","meticulous","","","adjective","","[məˈtɪkjʊləs]","","Showing great attention to detail; very careful and precise.","He is meticulous about keeping records.","The project requires meticulous planning.","She did a meticulous job on the report.","C2"
"AllEnglish::LEP::EP0915","resourceful","","","adjective","","[rɪˈzɔːrsfʊl]","","Having the ability to find quick and clever ways to overcome difficulties.","He is extremely resourceful and can solve any problem.","You need to be resourceful when working with a limited budget.","She is a resourceful leader.","C1"
"AllEnglish::LEP::EP0915","versatile","","","adjective","","[ˈvɜːrsətaɪl]","","Able to adapt or be adapted to many different functions or activities.","She is a versatile employee who can handle various tasks.","This software is very versatile.","He is a versatile actor.","C1"
"AllEnglish::LEP::EP0915","articulate","","","adjective","","[ɑːrˈtɪkjʊlət]","","Having or showing the ability to speak fluently and coherently.","He is an articulate speaker who impresses clients.","She gave a very articulate presentation.","We need someone who is articulate and confident.","C1"
"AllEnglish::LEP::EP0915","diplomatic","","","adjective","","[ˌdɪpləˈmætɪk]","","Having or showing an ability to deal with people in a sensitive and effective way.","You need to be diplomatic when dealing with complaints.","He gave a diplomatic answer to the difficult question.","She is very diplomatic in her negotiations.","C1"
"AllEnglish::LEP::EP0915","streamline","","","verb","","[ˈstriːmlaɪn]","","To make (an organization or system) more efficient and effective by employing faster or simpler working methods.","We need to streamline the production process.","The new software will streamline our workflow.","They are streamlining the department to save money.","C1"
"AllEnglish::LEP::EP0915","facilitate","","","verb","","[fəˈsɪlɪteɪt]","","To make (an action or process) easy or easier.","The mediator helped to facilitate the discussion.","Technology facilitates remote working.","Her role is to facilitate communication between teams.","C1"
"AllEnglish::LEP::EP0915","oversee","","","verb","","[ˌoʊvərˈsiː]","","To supervise (a person or work), especially in an official capacity.","He was hired to oversee the construction project.","She oversees a team of twenty people.","Who oversees the budget?","B2"
"AllEnglish::LEP::EP0915","collaborate","","","verb","","[kəˈlæbəreɪt]","","To work jointly on an activity, especially to produce or create something.","We need to collaborate with the design team.","The two companies collaborated on a new product.","Collaborating with others brings fresh ideas.","B2"
"AllEnglish::LEP::EP0915","turnover","","","noun","","[ˈtɜːrnoʊvər]","","The amount of money taken by a business in a particular period; the rate at which employees leave a workforce and are replaced.","The company has an annual turnover of $1 million.","High staff turnover is a sign of bad management.","We need to increase our turnover.","B2"
"AllEnglish::LEP::EP0915","revenue","","","noun","","[ˈrɛvənuː]","","Income, especially when of a company or organization and of a substantial nature.","The company's revenue has doubled this year.","Advertising is a key source of revenue.","They are looking for new revenue streams.","B2"
"AllEnglish::LEP::EP0915","profit margin","","","noun phrase","","[ˈprɒfɪt ˈmɑːrdʒɪn]","","The amount by which revenue from sales exceeds costs in a business.","We need to improve our profit margins.","The profit margin on this product is very low.","They operate with tight profit margins.","C1"
