#separator:comma
#html:true
#notetype:JPCARDS
#deck column:1
#tags column:10

AllEnglish::LEP::EP0986,"reluctant","adjective","","/rɪˈlʌktənt/","To be unwilling or hesitant to do something.","People were reluctant to go into the room.","He was reluctant to admit his mistake.","I am deeply reluctant to attend that meeting.","B2"
AllEnglish::LEP::EP0986,"avoid","verb","transitive / gerund","/əˈvɔɪd/","To try not to do or experience something.","They avoided it and refused to have anything to do with it.","She avoided looking at the mirror.","You should avoid making eye contact with the angry dog.","B1"
AllEnglish::LEP::EP0986,"lowered voices","noun phrase","plural","/ˈləʊəd ˈvɔɪsɪz/","Speaking more quietly.","They spoke about it in lowered voices.","We must speak in lowered voices so we don't wake the baby.","He explained the secret in a lowered voice.","B2"
AllEnglish::LEP::EP0986,"refuse","verb","infinitive","/rɪˈfjuːz/","To say no; to not agree to do something.","They refused to have anything to do with it.","He flatly refused to leave the room.","The company refused to cooperate with the investigation.","B1"
AllEnglish::LEP::EP0986,"have nothing to do with","idiom","","/hæv ˈnʌθɪŋ tə duː wɪð/","To be completely unconnected to something or want no involvement.","They refused to have anything to do with it.","I want nothing to do with that strange business.","The broken glass has nothing to do with me.","C1"
AllEnglish::LEP::EP0986,"fatal","adjective","","/ˈfeɪtl/","Causing death or leading to disaster.","Because that room had a strange, fatal attraction.","The mistake proved fatal for his career.","He suffered a fatal injury in the accident.","B2"
AllEnglish::LEP::EP0986,"draw in","phrasal verb","","/drɔː ɪn/","To pull or attract something inward.","Something that drew people inward like a magnet.","The dark doorway seemed to draw him in.","The pub looked so cozy that it just drew me in.","C1"
AllEnglish::LEP::EP0986,"inward","adverb","","/ˈɪnwəd/","Towards the inside.","Something that drew people inward.","The door opened inward with a creak.","He directed his thoughts inward.","B2"
AllEnglish::LEP::EP0986,"magnet","noun","countable","/ˈmæɡnət/","Something that attracts; having a strong attraction.","Something that drew people inward like a magnet.","The place had a magnetic pull, like a magnet.","Use a magnet to attach the note to the fridge.","B1"
AllEnglish::LEP::EP0986,"magnetic","adjective","","/mæɡˈnetɪk/","Having a strong attraction.","He has a highly magnetic personality.","The compass needle points north due to magnetic force.","The room had a magnetic pull on everyone who saw it.","B2"
AllEnglish::LEP::EP0986,"threshold","noun","countable","/ˈθreʃhəʊld/","The entrance or starting point of something.","Those brave enough would never step across the threshold.","He stood on the threshold of the dark room.","We are on the threshold of a new scientific era.","C1"
AllEnglish::LEP::EP0986,"hold back","phrasal verb","transitive","/həʊld bæk/","To stop someone from moving forward or progressing.","Their companion would stand behind them, ready to hold them back.","Fear held him back from achieving his dreams.","My lack of confidence is really holding me back.","B2"
AllEnglish::LEP::EP0986,"once","conjunction","","/wʌns/","As soon as; when (used to sequence events).","Once the door opened, the pull deepened.","Once you understand the grammar, it becomes easy.","I will call you once I arrive.","B1"
AllEnglish::LEP::EP0986,"as soon as","conjunction","","/æz suːn æz/","Immediately when something happens.","As soon as she entered, the noise stopped.","Please reply as soon as possible.","As soon as the door opened, the pull deepened.","B1"
AllEnglish::LEP::EP0986,"deepen","verb","intransitive / transitive","/ˈdiːpən/","To become stronger, more intense, or more serious.","Once the door opened, the pull deepened.","The silence in the room deepened.","They wanted to deepen their relationship.","B2"
AllEnglish::LEP::EP0986,"stubborn","adjective","","/ˈstʌbən/","Not willing to change your mind.","One foolish young man, stubborn and determined to prove everyone wrong, ignored the warnings.","He was too stubborn to turn back.","Her stubborn attitude made the negotiation difficult.","B2"
AllEnglish::LEP::EP0986,"prove wrong","phrase","","/pruːv rɒŋ/","To show that someone's opinion or belief is incorrect.","He was determined to prove everyone wrong.","She wanted to prove her critics wrong.","I thought it would rain, but the weather proved me wrong.","B2"
AllEnglish::LEP::EP0986,"plead","verb","intransitive","/pliːd/","To beg someone emotionally.","People pleaded with him not to go.","He pleaded desperately for mercy.","She pleaded with her parents to let her stay out late.","C1"
AllEnglish::LEP::EP0986,"scold","verb","transitive","/skəʊld/","To speak angrily to someone for doing something wrong.","People pleaded with him, scolded him, shouted at him.","The teacher scolded him for shouting in class.","I scolded my son for throwing water on the floor.","C1"
AllEnglish::LEP::EP0986,"tell off","phrasal verb","transitive","/tel ɒf/","To speak angrily to someone because they have done something wrong (informal).","He got told off by the teacher for talking.","My mum told me off for breaking the vase.","I'm going to tell him off if he does that again.","B2"
AllEnglish::LEP::EP0986,"rid of","verb phrase","","/rɪd ɒv/","To remove something unwanted (formal).","I will rid us all of this superstitious nonsense.","They tried to rid him of the curse.","We must rid the house of mice.","C1"
