#separator:comma
#html:true
#notetype:JPCARDS
#deck column:1
#tags column:13
"AllEnglish::LEP::EP0990","shoot the breeze","idiom","","ʃuːt ðə briːz","To have a relaxed, informal conversation about unimportant things.","We sat in the pub for hours just shooting the breeze.","I will generally just shoot the breeze, chew the fat and talk the hind legs off a donkey.","They spend the evening shooting the breeze about football.","","C1"
"AllEnglish::LEP::EP0990","chew the fat","idiom","","tʃuː ðə fæt","To chat casually for a long time.","My uncle loves sitting in cafés chewing the fat with strangers.","I will generally just shoot the breeze, chew the fat and talk the hind legs off a donkey.","We sat and chewed the fat over a beer for hours.","","C1"
"AllEnglish::LEP::EP0990","talk the hind legs off a donkey","idiom","","tɔːk ðə haɪnd lɛgz ɒf ə ˈdɒŋki","To talk excessively or continuously.","Once my dad starts talking about jazz, he can talk the hind legs off a donkey.","I will generally just shoot the breeze, chew the fat and talk the hind legs off a donkey.","She talks endlessly, she could talk the hind legs off a donkey.","","C2"
"AllEnglish::LEP::EP0990","counter-intuitive","adjective","","ˌkaʊntərɪnˈtjuːɪtɪv","Opposite to what seems logical or expected.","It sounds counter-intuitive, but taking breaks can improve productivity.","I am going to start in perhaps the most counter-intuitive way.","The result of the experiment was completely counter-intuitive.","","C1"
"AllEnglish::LEP::EP0990","disgruntled","adjective","","dɪsˈɡrʌntld","Annoyed, dissatisfied, or unhappy.","Disgruntled customers started posting complaints online.","I am sharing an email from a disgruntled listener.","The disgruntled former staff decided to strike.","","C1"
"AllEnglish::LEP::EP0990","weep","verb","","wiːp","To cry, especially emotionally or dramatically.","She wept with relief when she heard the news.","And then I need to weep for a while, and pick myself up.","He wept bitterly after hearing the tragedy.","","B2"
"AllEnglish::LEP::EP0990","pick oneself up","phrasal verb","","pɪk wʌnˈsɛlf ʌp","To recover emotionally after difficulty or disappointment.","After failing the exam, he picked himself up and tried again.","I need to weep for a while, and pick myself up and desperately just try to carry on.","You just have to pick yourself up and carry on.","","B2"
"AllEnglish::LEP::EP0990","spoonful of sugar","idiom","","ˈspuːnfʊl ɒv ˈʃʊgə","Something pleasant that makes an unpleasant situation easier to accept.","The bonus payment was a spoonful of sugar after the bad news.","That's the spoonful of sugar that helps the medicine go down.","A little compliment is a spoonful of sugar before criticism.","","C1"
"AllEnglish::LEP::EP0990","grace","noun","uncountable","greɪs","Polite dignity and elegance in behaviour.","She handled the criticism with grace.","You leave with grace, and class.","He accepted his defeat with quiet grace.","","B2"
"AllEnglish::LEP::EP0990","class","noun","uncountable","klɑːs","Stylishness, dignity, or high-quality behaviour.","He is a classy guy with real class.","You leave with grace, and class.","Her performance had a touch of real class.","","B2"
