#separator:comma
#html:true
#notetype:JPCARDS
#deck column:1
#tags column:13
"LEP::EP952","serial compulsive podcaster","uuid-placeholder-1","uid-placeholder-1","noun phrase",""," /ˈsɪəriəl kəmˈpʌlsɪv ˈpɒdkɑːstə(r)/","","Someone who records and publishes podcasts very frequently, almost obsessively.","I am a serial compulsive podcaster and have been for years.","She's a serial compulsive podcaster, releasing two or three episodes a week without fail.","Humorous, slightly self-deprecating expression.","LEP-English::2025.11.06 LEP-English::EP952 C2"
"LEP::EP952","have something in check","uuid-placeholder-2","uid-placeholder-2","verb phrase",""," /hæv ˈsʌmθɪŋ ɪn tʃek/","","To keep something under control or restrained.","I think I've got it in check.","The teacher managed to keep the noisy class in check.","Often used for emotions, habits, or disruptive behaviour.","LEP-English::2025.11.06 LEP-English::EP952 C1"
"LEP::EP952","cope with something","uuid-placeholder-3","uid-placeholder-3","verb phrase",""," /kəʊp wɪð ˈsʌmθɪŋ/","","To deal effectively with something difficult.","Luke, how did you cope with no podcasting for 5 weeks?","She found it hard to cope with the stress of moving to a new country.","Often linked with stress, change, or hardship.","LEP-English::2025.11.06 LEP-English::EP952 B2"
"LEP::EP952","headspace","uuid-placeholder-4","uid-placeholder-4","noun","uncountable, informal"," /ˈhedspeɪs/","","Mental clarity or emotional capacity to deal with things.","It was fine and it was a welcome bit of headspace for me.","I need some headspace before I can make a big decision like that.","Modern psychological vocabulary.","LEP-English::2025.11.06 LEP-English::EP952 C1"
"LEP::EP952","blow off steam","uuid-placeholder-5","uid-placeholder-5","verb phrase","idiom"," /bləʊ ɒf stiːm/","","To release pent-up energy, frustration, or stress through activity.","...it's good to let him blow off steam.","After a long week at work, he blew off steam by going for a long run.","Informal. Related to steam escaping from a boiler.","LEP-English::2025.11.06 LEP-English::EP952 C1"
"LEP::EP952","in the shade","uuid-placeholder-6","uid-placeholder-6","prepositional phrase",""," /ɪn ðə ʃeɪd/","","Protected from direct sunlight.","...trying to find shade...","We sat in the shade of an old oak tree.","Opposite of ""in the sun.""","LEP-English::2025.11.06 LEP-English::EP952 B1"
"LEP::EP952","shades","uuid-placeholder-7","uid-placeholder-7","noun","plural, informal"," /ʃeɪdz/","","Sunglasses.","...trying to find shade, hats, shades, sun cream...","He slipped on his shades before driving off.","Very casual slang.","LEP-English::2025.11.06 LEP-English::EP952 B1"
"LEP::EP952","sun cream","uuid-placeholder-8","uid-placeholder-8","noun","uncountable, British English"," /ˈsʌn kriːm/","","Lotion applied to protect the skin from sunburn.","...shades, sun cream, worrying if you've got heat stroke...","Don't forget your sun cream or you'll burn.","In US English, often called ""sunscreen.""","LEP-English::2025.11.06 LEP-English::EP952 A2"
"LEP::EP952","suntan lotion","uuid-placeholder-9","uid-placeholder-9","noun","uncountable"," /ˈsʌntæn ˌləʊʃn/","","Lotion designed to help skin tan while providing some protection.","Suntan lotion in your eyes.","He got suntan lotion in his eyes while swimming.","""Sun cream/sunscreen"" is now more common.","LEP-English::2025.11.06 LEP-English::EP952 B1"
"LEP::EP952","heat stroke","uuid-placeholder-10","uid-placeholder-10","noun","uncountable"," /ˈhiːt strəʊk/","","A serious medical condition caused by overheating.","...worrying if you've got heat stroke...","Several runners collapsed with heat stroke during the marathon.","Important for travel/health vocabulary.","LEP-English::2025.11.06 LEP-English::EP952 C1"
"LEP::EP952","sticky","uuid-placeholder-11","uid-placeholder-11","adjective",""," /ˈstɪki/","","Feeling unpleasantly hot, sweaty, and slightly damp (of weather).","Sticky all day.","It was so sticky on the train I could hardly breathe.","Common in British English for humid weather.","LEP-English::2025.11.06 LEP-English::EP952 B2"
"LEP::EP952","layers","uuid-placeholder-12","uid-placeholder-12","noun","countable, plural"," /ˈleɪəz/","","Multiple pieces of clothing worn on top of each other.","...if it gets chilly put on another layer...","Dress in layers so you can adjust to the changing temperature.","Very common in travel/clothing advice.","LEP-English::2025.11.06 LEP-English::EP952 B1"
"LEP::EP952","potter around","uuid-placeholder-13","uid-placeholder-13","phrasal verb","informal, British English"," /ˈpɒtər əˈraʊnd/","","To move about in a relaxed, aimless way, often doing light tasks.","...pottering around looking in rock pools, crabbing.","He spent the afternoon pottering around in the garden.","Suggests relaxation and leisure.","LEP-English::2025.11.06 LEP-English::EP952 C1"
"LEP::EP952","rock pools","uuid-placeholder-14","uid-placeholder-14","noun","countable, plural"," /ˈrɒk puːlz/","","Small pools of seawater left behind on the beach when the tide goes out.","...pottering around looking in rock pools, crabbing.","The children searched the rock pools for crabs and starfish.","Common holiday/beach vocabulary in the UK.","LEP-English::2025.11.06 LEP-English::EP952 C1"
"LEP::EP952","crabbing","uuid-placeholder-15","uid-placeholder-15","noun",""," /ˈkræbɪŋ/","","The activity of catching crabs, often as a seaside leisure activity.","...pottering around looking in rock pools, crabbing.","We spent the afternoon crabbing off the pier.","A leisure activity, especially popular with families.","LEP-English::2025.11.06 LEP-English::EP952 C1"
"LEP::EP952","cook for yourself","uuid-placeholder-16","uid-placeholder-16","verb phrase",""," /kʊk fɔː(r) jɔː(r)ˈself/","","To prepare your own meals instead of eating out.","...and cooking for ourselves.","When you live alone, you have to cook for yourself.","Often contrasted with eating at restaurants.","LEP-English::2025.11.06 LEP-English::EP952 A2"
"LEP::EP952","save on something","uuid-placeholder-17","uid-placeholder-17","verb phrase",""," /seɪv ɒn ˈsʌmθɪŋ/","","To reduce the amount of money spent on something.","Renting an electric car helped us save on petrol money.","We saved on heating by installing better insulation.","Common collocation with ""money,"" ""costs,"" etc.","LEP-English::2025.11.06 LEP-English::EP952 B2"
"LEP::EP952","itinerary","uuid-placeholder-18","uid-placeholder-18","noun","countable"," /aɪˈtɪnərəri/","","A planned route or schedule of a journey.","Itinerary - included a trip to the UK...","The travel agent gave us a detailed itinerary for our holiday.","Formal compared to ""plan.""","LEP-English::2025.11.06 LEP-English::EP952 B2"
"LEP::EP952","lush","uuid-placeholder-19","uid-placeholder-19","adjective",""," /lʌʃ/","","(Of vegetation) rich, healthy, and abundant.","England is very green and lush.","The rainforest was full of lush greenery.","Can also mean ""luxurious"" (informal).","LEP-English::2025.11.06 LEP-English::EP952 B2"
"LEP::EP952","make the most of something","uuid-placeholder-20","uid-placeholder-20","verb phrase","idiom"," /meɪk ðə məʊst əv ˈsʌmθɪŋ/","","To use an opportunity as fully as possible.","...you have to make the most of them.","We only had two days in Rome, so we made the most of our time.","Common motivational expression.","LEP-English::2025.11.06 LEP-English::EP952 B2"
"LEP::EP952","a breath of fresh air","uuid-placeholder-21","uid-placeholder-21","noun phrase","idiom"," /ə breθ əv freʃ eə(r)/","","Something new and refreshing compared to what is usual.","Going to Warwick is a breath of fresh air, literally.","Her ideas are a real breath of fresh air for the team.","Can be literal (clean air) or metaphorical.","LEP-English::2025.11.06 LEP-English::EP952 C1"
"LEP::EP952","seafaring","uuid-placeholder-22","uid-placeholder-22","adjective",""," /ˈsiːˌfeərɪŋ/","","Connected with working or travelling on the sea.","Seafaring people from the area we now call Norway.","Portugal has a long seafaring tradition.","Often used in historical contexts.","LEP-English::2025.11.06 LEP-English::EP952 C2"
"LEP::EP952","inlets","uuid-placeholder-23","uid-placeholder-23","noun","countable, plural"," /ˈɪnlets/","","Narrow stretches of water extending inland from a larger body of water.","...long narrow sea inlets, created by glaciers...","The coast was dotted with tiny inlets where fishermen kept their boats.","Geography vocabulary; often linked with fjords.","LEP-English::2025.11.06 LEP-English::EP952 C1"
"LEP::EP952","glaciers","uuid-placeholder-24","uid-placeholder-24","noun","countable, plural"," /ˈglæsiəz/","","Large masses of ice that move slowly over land.","...created by glaciers which scraped them out...","The Alps are still home to many glaciers.","Important geography/science word.","LEP-English::2025.11.06 LEP-English::EP952 B2"
"LEP::EP952","scrape something out","uuid-placeholder-25","uid-placeholder-25","phrasal verb",""," /skreɪp ˈsʌmθɪŋ aʊt/","","To remove or hollow something by rubbing or dragging forcefully.","...created by glaciers which scraped them out millions of years ago.","She scraped out the remains of the soup from the pan.","Can be literal or figurative.","LEP-English::2025.11.06 LEP-English::EP952 C1"
