#separator:comma
#html:true
#notetype:JPCARDS
#deck column:1
#tags column:13
"LEP::EP0947","dominant force","uuid-placeholder-1","uid-placeholder-1","noun phrase",""," /ˈdɒmɪnənt fɔːs/","","a person or thing that has more power, influence, or success than others.","Technology is a hugely dominant force in our lives today.","The company has become a dominant force in the market.","He is a dominant force in the world of politics.","LEP-English::2025.08.16 LEP-English::EP0947 C1"
"LEP::EP0947","rely on","uuid-placeholder-2","uid-placeholder-2","phrasal verb",""," /rɪˈlaɪ ɒn/","","to depend on with full trust or confidence.","More than at any other point in human history, we rely on it for almost everything.","You can rely on me to help you.","The company relies on a small number of customers.","LEP-English::2025.08.16 LEP-English::EP0947 B1"
"LEP::EP0947","at our fingertips","uuid-placeholder-3","uid-placeholder-3","idiom",""," /æt aʊə(r) ˈfɪŋgətɪps/","","readily available; easily accessible.","We live in a world where everything is connected, and everything is at our fingertips.","I have all the information I need at my fingertips.","With the internet, a world of knowledge is at our fingertips.","LEP-English::2025.08.16 LEP-English::EP0947 B2"
"LEP::EP0947","rapidly emerging","uuid-placeholder-4","uid-placeholder-4","verb phrase",""," /ˈræpɪdli ɪˈmɜːdʒɪŋ/","","appearing or becoming known very quickly.","Meanwhile, AI is rapidly emerging as the most powerful technology...","The country is a rapidly emerging economy.","New technologies are rapidly emerging in the field of medicine.","LEP-English::2025.08.16 LEP-English::EP0947 B2"
"LEP::EP0947","profound changes","uuid-placeholder-5","uid-placeholder-5","noun phrase",""," /prəˈfaʊnd ˈtʃeɪndʒɪz/","","very great and far-reaching changes.","...and is set to bring profound changes.","The internet has brought about profound changes in the way we live and work.","The country is undergoing profound social and economic changes.","LEP-English::2025.08.16 LEP-English::EP0947 C1"
"LEP::EP0947","weigh up","uuid-placeholder-6","uid-placeholder-6","phrasal verb",""," /weɪ ʌp/","","to consider the good and bad aspects of something in order to make a decision.","We constantly have to weigh up the advantages against the... costs...","I'm weighing up my options before I make a decision.","You need to weigh up the pros and cons of the situation.","LEP-English::2025.08.16 LEP-English::EP0947 B2"
"LEP::EP0947","crucial","uuid-placeholder-7","uid-placeholder-7","adjective",""," /ˈkruːʃl/","","extremely important or necessary.","This is a crucial topic, and one which comes into our conversations all the time.","It's crucial that we get this right.","The next few weeks are crucial for the project.","LEP-English::2025.08.16 LEP-English::EP0947 B2"
"LEP::EP0947","lay person","uuid-placeholder-8","uid-placeholder-8","noun",""," /ˈleɪ pɜːsn/","","a person without professional or specialized knowledge in a particular subject.","I am going to answer these questions as a lay person, not as an expert.","The book is written for the lay person, not for scientists.","As a lay person, I don't understand all the technical details.","LEP-English::2025.08.16 LEP-English::EP0947 C1"
"LEP::EP0947","in layman's terms","uuid-placeholder-9","uid-placeholder-9","idiom",""," /ɪn ˈleɪmənz tɜːmz/","","in simple language that someone who is not an expert can understand.","Sometimes we use the word layman in layman's terms.","Could you explain it in layman's terms, please?","The doctor explained the diagnosis in layman's terms.","LEP-English::2025.08.16 LEP-English::EP0947 C1"
"LEP::EP0947","hyper-connected","uuid-placeholder-10","uid-placeholder-10","adjective",""," /ˌhaɪpə(r) kəˈnektɪd/","","characterized by the widespread or habitual use of devices that have Internet connections.","In today's hyper-connected world, we constantly weigh the benefits of convenience...","We live in a hyper-connected society.","The younger generation is hyper-connected through social media.","LEP-English::2025.08.16 LEP-English::EP0947 C1"
