#separator:comma
#html:true
#notetype:JPCARDS
#deck column:1
#tags column:13
"LEP::P12","distilled","uuid-placeholder-1","uid-placeholder-1","verb","past participle"," /dɪˈstɪld/","","extracted the most important aspects of something.","...all my teaching and knowledge about present perfect, distilled into one episode series...","The book distills the wisdom of the ancient philosophers.","She distilled the report down to a single page.","LEP-English::2025.09.24 LEP-English::P12 C2"
"LEP::P12","get through","uuid-placeholder-2","uid-placeholder-2","phrasal verb",""," /get θruː/","","to finish or complete a task.","...there's a lot to get through, including your practice exercises...","I've got a lot of work to get through today.","We need to get through this chapter before the exam.","LEP-English::2025.09.24 LEP-English::P12 B2"
"LEP::P12","strap in","uuid-placeholder-3","uid-placeholder-3","phrasal verb","informal"," /stræp ɪn/","","to fasten your seatbelt; to prepare for a difficult or exciting experience.","So, strap in and get ready for some intensive grammar work.","Strap in, this is going to be a bumpy ride.","The pilot told the passengers to strap in for landing.","LEP-English::2025.09.24 LEP-English::P12 C1"
"LEP::P12","intensive","uuid-placeholder-4","uid-placeholder-4","adjective",""," /ɪnˈtensɪv/","","involving a lot of work or activity in a short period of time.","...get ready for some intensive grammar work.","She's doing an intensive language course.","The job requires intensive training.","LEP-English::2025.09.24 LEP-English::P12 B2"
"LEP::P12","hover","uuid-placeholder-5","uid-placeholder-5","verb",""," /ˈhɒvə(r)/","","to stay in one place in the air.","...in the menu hover the mouse over PREMIUM...","A helicopter was hovering overhead.","The bee hovered over the flower.","LEP-English::2025.09.24 LEP-English::P12 C1"
"LEP::P12","underused","uuid-placeholder-6","uid-placeholder-6","adjective",""," /ˌʌndəˈjuːzd/","","not used as much as it could or should be.","...this very important but often misunderstood and underused English verb tense.","The new sports centre is underused by the local community.","She is a very talented but underused actress.","LEP-English::2025.09.24 LEP-English::P12 C1"
"LEP::P12","equivalent","uuid-placeholder-7","uid-placeholder-7","noun/adjective",""," /ɪˈkwɪvələnt/","","a thing, amount, word, etc. that is equal in value, meaning, or purpose to something else.","There's no equivalent, often. For example: French...","Sending a text message is the modern equivalent of writing a letter.","What is the equivalent of a pound in your currency?","LEP-English::2025.09.24 LEP-English::P12 B2"
"LEP::P12","romance languages","uuid-placeholder-8","uid-placeholder-8","noun phrase",""," /ˈrəʊmæns ˈlæŋgwɪdʒɪz/","","the group of languages descended from Latin, such as French, Spanish, and Italian.","...and probably other latin/romance languages.","French is a beautiful romance language.","He is a speaker of several romance languages.","LEP-English::2025.09.24 LEP-English::P12 C1"
"LEP::P12","jacked up on caffeine","uuid-placeholder-9","uid-placeholder-9","idiom","slang"," /dʒækt ʌp ɒn ˈkæfiːn/","","overstimulated by a large amount of caffeine.","...massively jacked up on caffeine and I might have a heart attack at any moment.","I'm so jacked up on caffeine, I can't sit still.","He was jacked up on caffeine after drinking three espressos.","LEP-English::2025.09.24 LEP-English::P12 C2"
"LEP::P12","notoriously","uuid-placeholder-10","uid-placeholder-10","adverb",""," /nəʊˈtɔːriəsli/","","in a way that is famous for something bad.","...present perfect is notoriously difficult for the French to understand.","The exam is notoriously difficult.","He is notoriously bad at remembering names.","LEP-English::2025.09.24 LEP-English::P12 C1"
